#separator:tab
#html:true
{{c1::Die Geldmenge}} ist {{c2::die Menge an Geld in einer Volkswirtschaft}}.	
{{c1::\(\text{Gegenwartswert (PV)}\)}} \(=\) {{c2::\(\frac{\text{Zukunftswert} }{(1 + \text{Zinssatz})^{\text{Zeit} } }\)}}	
"{{c1::Ein Netzwerk-Gleichgewicht}} ist {{c2::ein Marktgleichgewicht}}, bei welchem in {{c2::einem Markt}} mit {{c2::Netwerkexternalitäten}} ein {{c2::stabiler Zustand}} erreicht wird.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Kostenverlauf_und_Netzwerkexternalitaeten.png"" alt=""""><br />
Kostenverlauf und Netzwerkexternalitäten}}}}"	
"<p>Das Netzwerk-Gleichgewicht entsteht durch:</p>
<ul>
<li>{{c1::keine Käufer und kein Angebot}}</li>
<li>{{c2::kleine Anzahl von Käufern mit instabilem Gleichgewicht}}</li>
<li>{{c3::große Anzahl von Käufern mit stabilem Gleichgewicht}}</li>
</ul>"	
{{c1::Ein Präsenzindikator der Konjunktur}} ist {{c2::ein Hinweis auf die aktuelle konjunkturelle Entwicklung}}.	
{{c1::Ein Frühindikator der Konjunktur}} ist {{c2::ein Hinweis auf die zukünftige konjunkturelle Entwicklung}}.	
{{c1::Ein Spätindikator der Konjunktur}} ist {{c2::ein Hinweis auf die vergangene konjunkturelle Entwicklung}}.	
{{c1::Antizyklisch}} ist {{c2::eine Bewegung entgegengerichtet zum betrachtenden Objekt}}.	
{{c1::Ein Trend}} ist {{c2::eine Grundrichtung der langfristigen Veränderung}} in {{c2::einer Zeitreihenanalyse}}.	
{{c1::Prozyklisch}} ist {{c2::eine Bewegung entsprechend zum betrachtenden Objekt}}.	
"{{c1::Gesamtausgaben}} sind {{c2::alle Beträge, die von Käufern gezahlt werden}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Ausgaben_bei_Nachfrage.png"" alt=""""><br />
Ausgaben bei Nachfrage}}}}"	
{{c1::Eine Depression}} ist {{c2::eine starke Rezession}}.	
{{c1::Eine Depression}} ist vorhanden, wenn {{c2::das reale BIP um -10 % pro Jahr oder über einen Zeitraum von drei Jahren sinkt}}.	
{{c1::Eine Rezession}} ist {{c2::eine Periode}} mit {{c2::schrumpfendem Volkseinkommen und steigender Arbeitslosigkeit}}.	
{{c1::Eine Rezession}} ist vorhanden, wenn {{c2::in zwei aufeinander folgenden Quartalen der BIP sinkt}}.	
"{{c1::Wissen}} ist {{c2::eine nützliche Sammlung an Erfahrungen, Informationen und Werten, die einen Rahmen für die Bewertung und Einbeziehung neuer Erfahrungen und Informationen bietet}}.<br />
{{c1::{{c2::<img src=""2023-Bild-Krcmar-Geschaeftsprozessorientiertes_Wissensmanagement.png"" alt=""""><br />
Geschäftsprozessorientiertes Wissensmanagement}}}}"	
Wissen führt zu {{c1::einer Weiterentwicklung der Fähigkeiten}} einer gesamten Gesellschaft und Volkswirtschaft.	
{{c1::Das Humankapital (Human Capital)}} ist {{c2::ein Produktionsfaktor}} in Form von {{c2::Fähigkeiten und Wissen der Arbeitskräften}}.	
{{c1::Eine natürliche Ressource}} ist ein {{c2::Gut}}, welches von {{c2::der Natur}} bereitgestellt wird.	
{{c1::Das Realkapital}} ist {{c2::ein Produktionsfaktor}} in Form von {{c2::Geld}}.	
{{c1::Die Konzentrationsrate}} ist {{c2::ein Kalkül}} zur {{c2::Messung der Verteilung des Marktanteils auf die einzelnen Unternehmen}}.	
{{c1::Die Inflationsrate}} ist {{c2::die Rate der Inflation}} und {{c2::die prozentuale Veränderung des Preisniveaus gegenüber einer Vorperiode}}.	
{{c1::\(\text{Inflationsrate im Jahr 2}\)}} \(=\) {{c2::\(\frac{\text{Verbraucherpreisindex im Jahr 2} - \text{Verbraucherpreisindex im Jahr 1} }{\text{Verbraucherpreisindex im Jahr 1} } \cdot 100\)}}	
{{c1::Ein Staat}} ist die Menge an {{c2::Bundesländern, Gemeinden und Sozialversicherungen}}.	
{{c1::Eine private Organisation}} ist eine {{c2::Organisation ohne Erwerbszweck}}, z. B. {{c2::Gewerkschaften oder Parteien}}.	
{{c1::Ein privater Haushalt}} ist {{c2::eine Einzelperson oder eine Gruppe von Einzelpersonen}}.	
{{c1::Eine finanzielle Kapitalgesellschaft}} ist {{c2::eine spezifische idealtypische Kapitalgesellschaft}}, z. B. {{c2::Banken oder Versicherungen}}.	
{{c1::Eine nichtfinanzielle Kapitalgesellschaft}} ist {{c2::eine allgemeine idealtypische Kapitalgesellschaft}}, z. B. {{c2::Aktiengesellschaften}}.	
{{c1::Der nominale BIP}} ist {{c2::der BIP}} mit {{c2::Bewertung von Gütern zum derzeitigen Marktpreis}}.	
{{c1::Das reale BIP}} ist {{c2::der BIP}} mit {{c2::Bewertung von Gütern zum Marktpreis der Vorjahre}}.	
{{c1::Eine Mindestreserveanforderung}} ist {{c2::ein geldpolitisches Instrument}}, bei welchem {{c2::Banken Mindestreserven bei der Zentralbank halten müssen}}.	
{{c1::Ständigen Fazilitäten}} sind {{c2::ein geldpolitisches Instrument}} für {{c2::kurzfristige Leihmöglichkeiten und Anlagemöglichkeiten}} bei {{c2::der Zentralbank}}.	
Die Zinsen von {{c2::ständigen Fazilitäten}} sind bei Finanzierung {{c1::deutlich höher}} und bei Anlagen {{c1::deutlich niedriger}} als {{c1::der Marktzins}}, so dass {{c2::die ständigen Fazilitäten}} nur {{c3::im Notfall}} benutzt werden.	
{{c1::Ein Offenmarktgeschäft}} ist {{c2::ein geldpolitisches Instrument zum An- und Verkauf von Wertpapieren}} durch {{c3::die Zentralbank}}.	
{{c1::Der Verkauf von Wertpapieren durch die Zentralbank}} {{c2::verkleinert}} die Geldmenge, da {{c2::Geschäftsbanken die Wertpapiere kaufen und somit Geld von den Geschäftsbanken zur Zentralbank fließt}}.	
{{c1::Der Geldschöpfungsmultiplikator}} ist {{c2::die Geldmenge}}, welche {{c2::das Bankensystem mit einer Geldmenge an Reserven durch Geldschöpfung generiert}}.	
{{c1::\(\text{Geldschöpfungsmuliplikator}\)}} \(=\) {{c2::\(\frac{1}{\text{Reservesatz} }\)}}	
{{c1::Die Geldschöpfung}} ist {{c2::die Schöpfung von Geld durch die Einlage von als Kredit vergebene Gelder in einer anderen Bank, wodurch das Geld wieder verliehen werden kann}}.	
{{c1::\(\text{Geldschöfpfung}\)}} \(=\) {{c2::\(\text{Geldmenge} \cdot \frac{1}{\text{Reservesatz} }\)}}	
{{c1::Eine Reserve}} ist {{c2::eine Einlage, welche nicht weiterverliehen oder genutzt wird}}.	
{{c1::Die Reserve}} bezieht sich auf das Verhältnis, zu welchen {{c2::Organisation}} einen bestimmten {{c2::Satz ihrer Einlagen}} als {{c1::Reserven}} halten müssen.	
{{c1::Das Europäische System der Zentralbanken (ESZB)}} ist {{c2::eine Gruppe aus der Europäischen Zentralbank und den nationalen Zentralbanken}}.	
Die Aufgabe des Europäische System der Zentralbanken ist {{c1::die Steuerung der Geldpolitik, unabhängig von politischen Weisungen}}.	
{{c1::Eine Zentralbank}} ist {{c2::eine Organisation}}, die {{c2::das Bankenwesen überwacht}} und {{c2::die Geldmenge in einer Volkswirtschaft reguliert}}.	
{{c1::Ein Geldmarktpapier (Commercial Paper)}} ist {{c2::eine Schuldverschreibung}}, die zur {{c3::Beschaffung kurzfristiger Gelder emittiert wird}}.	
{{c1::Ein Commercial Paper}} besitzt {{c2::ein hohes Mindestvolumen}} und {{c2::eine hohe Flexibilität}} durch {{c3::ein beliebiges Volumen über dem Mindestvolumen}} und {{c3::unbefristeter Laufzeit}}.	
{{c1::Ein Geldmarktfond}} ist {{c2::ein Fond}}, welcher {{c2::überwiegend in Geldmarkttitel und liquide Wertpapiere mit kurzer Laufzeit}} investiert.	
{{c1::Ein Repogeschäft (Pensionsgeschäft)}} ist {{c2::der Verkauf und spätere Rückkauf von Gütern}}, häufig von {{c2::Wertpapieren}}.	
{{c1::Das Cryptomining}} ist {{c2::der Prozess zur Erzeugung von Kryptowährung}} durch {{c3::die Verifizierung von Transaktionen}}, bei welchen {{c3::kryptografische Probleme gelöst werden}}.	
{{c1::Eine Kryptowährung}} ist {{c2::eine Geldeinheiten}}, bei welcher {{c2::einzelne Vermögenszuschreibungen}} in {{c3::einer dezentralen Datenbank}} festgehalten werden.	
{{c1::Die Schaffung, Transaktion und Vernichtung}} von {{c2::Kryptowährung}} wird durch {{c3::Kryptografie}} verifiziert und gesichert.	
{{c1::Eine Sichteinlage}} ist {{c2::eine Einlage, welche die Kunden täglich tauschen können}}.	
"Beispiel:<br />
Nominalgeld"	"<ul>
<li>Banknoten</li>
<li>Münzen</li>
</ul>"
{{c1::Das Nominalgeld}} ist {{c2::Geld ohne intrinsischen Wert, das vom Staat zu Geld erklärt wird}}.	
"Beispiel:<br />
Warengeld"	"<ul>
<li>Gold</li>
<li>Zigaretten</li>
</ul>"
{{c1::Das Warengeld}} ist {{c2::Geld, welches die Form einer Ware annimmt}}.	
{{c1::Der Liquiditätsgrad in der VWL}} ist {{c2::die Leichtigkeit}}, mit der {{c2::ein Aktivum in ein Tauschmittel umgewandelt werden kann}}.	
{{c1::Der Hysterese-Effekt}} ist ein Effekt über {{c2::den Verlust von Humankapital, des Rückgang von Volkseinkommen und die Verfestigung der Arbeitslosigkeit}}.	
{{c1::Geld}} sind {{c2::Aktiva}}, die Menschen in einer Volkswirtschaft dazu verwenden, {{c2::Güter von anderen Menschen zu erwerben}}.	
{{c1::Geld}} fungiert als {{c2::Recheneinheit, Tauschmittel und Wertaufbewahrungsmittel}}.	
{{c1::Ein Effizienzlohn}} ist {{c2::ein Lohn}}, welcher {{c2::über dem Marktgleichgewicht}} liegt, wodurch {{c3::sich der Arbeitgeber erhofft, die Produktivität der Arbeitnehmer zu erhöhen}}.	
"{{c1::Ein ausschließbares Gut}} ist {{c2::ein Gut}}, bei welchen<br />
{{c2::Konsumenten durch den Produzenten vom Konsum ausgeschlossen werden können}}."	
{{c1::Die Arbeitslosigkeit}} ist {{c2::die Menge an allen als arbeitslos gemeldeten Menschen}}.	
Als {{c1::Arbeitslos}} gilt eine Person zwischen 15 und 74, wenn {{c2::diese arbeitssuchende ist oder sich nicht oder weniger als 15 Stunden in der Woche in einem Beschäftigungsverhältnis befindet}}.	
{{c1::\(\text{Arbeitslosenquote}\)}} \(=\) {{c2::\(\frac{\text{Arbeitslose} }{\text{Erwerbspersonen} } \cdot 100\)}}	
{{c1::Ein rivales Gut}} ist {{c2::ein Gut}}, bei welchen {{c2::ein Konsument von Konsum durch andere Konsumenten verhindert oder beeinträchtigt werden kann}}.	
{{c1::Der Kapitalimport}} ist {{c2::die Erhöhung des Bestand an Realkapital}} durch {{c2::Förderung von Investitionen}} aus {{c2::dem Ausland}}.	
"{{c1::Der Catch-Up-Effekt}} ist der Effekt, dass {{c2::bei niedrigem Kapitalbestand pro Arbeitskraft die Produktivität des zusätzlich investierten Kapitals höher steigt als bei einem hohen Kapitalbestand pro Arbeitskraft}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Abnehmender_Grenzertrag_des_Kapitals.png"" alt=""""><br />
Abnehmender Grenzertrag des Kapitals}}}}"	
"{{c1::Der abnehmende Grenzertrag des Kapitals}} ist {{c2::die vorübergehende Steigerung des Wirtschaftswachstums und die Produktivität bei Steigerung des Kapital und der Investitionstätigkeiten}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Abnehmender_Grenzertrag_des_Kapitals.png"" alt=""""><br />
Abnehmender Grenzertrag des Kapitals}}}}"	
{{c1::Der nominale Zinssatz (Nominalzins)}} ist {{c2:: der üblicherweise ausgewiesene Zinssatz}}.	
{{c1::Die Indexierung in der Wirtschaft}} ist {{c2::die vertragliche Bindung}} an {{c2::die Entwicklung des Preisniveaus}}.	
{{c1::Der Verbraucherpreisindex}} ist {{c2::ein Kalkül}} zur {{c2::Messung des Preises der Güter}}, die von {{c2::einem privaten Haushalt}} konsumiert werden.	
{{c1::Der Verbraucherpreisindex}} wird {{c2::durch einen Warenkorb mit dem Index 100 zum Basisjahr mit Veränderung in Abhängigkeit vom Basisjahr}} berechnet.	
{{c1::Substitute Güter, die Einführung neuer Güter und fehlende Qualitätserfassungen}} können zu {{c2::Verzerrungen des Verbraucherpreisindex}} führen.	
{{c1::\(\text{Volkseinkommen}\)}} \(=\) {{c2::\(\text{Nettonationaleinkommen} - \text{Produktionsabgaben und Importabgaben} + \text{Subvention}\)}}	
{{c1::\(\text{Nettonationaleinkommen}\)}} \(=\) {{c2::\(\text{Bruttonationaleinkommen} - \text{Abschreibungen auf Kapialstock}\)}}	
{{c1::Das Bruttonationaleinkommen}} ist {{c2::das gesamte Einkommen}}, das {{c2::allen Personen mit Wohnsitz im Inland}} zugeflossen ist.	
{{c1::Der BIP-Deflator}} ist {{c2::die Zunahme des nominalen BIP in Folge einer Preiserhöhung}}.	
{{c1::\(\text{BIP-Deflator}\)}} \(=\) {{c2::\(\frac{\text{nominaler BIP} }{\text{realer BIP} } \cdot 100\)}}	
{{c1::Die Sozialleistungsquote}} ist {{c2::der Anteil aller Sozialleistungen vom BIP}}.	
{{c1::Die Verteilungsgerechtigkeit}} ist {{c2::die Fähigkeit einer Volkswirtschaft, die wirtschaftliche Wohlfahrt fair aufzuteilen}}.	
Verteilungsgerechtigkeit führt nicht immer zu {{c2::einem effizienten Marktergebnis}}.	
{{c1::Die Wohlfahrtsökonomik}} ist {{c2::die Wissenschaft}} über {{c2::die Allokation von Gütern und die Beeinflussung der Wohlfahrt}}.	
{{c1::Die Wohlfahrt}} ist {{c2::die subjektive Zufriedenheit von Individuen}} und die {{c2::durch Indikatoren gemessene objektive Lebensqualität}}.	
